Country,GO Region,Institution
Scotland,Scotland,The University of Aberdeen
Scotland,Scotland,University of Abertay Dundee
Wales,Wales,Aberystwyth University
England,Greater London,ALRA (The Academy of Live and Recorded Arts)
England,North West,Accrington & Rossendale College
Northern Ireland,Northern Ireland,"The College of Agriculture, Food and Rural Enterprise"
England,Greater London,American InterContinental University - London
England,East,Anglia Ruskin University
England,South West,Anglo European College of Chiropractic
England,Yorkshire and Humberside,Askham Bryan College
England,West Midlands,Aston University
Wales,Wales,Bangor University
England,Greater London,Barking and Dagenham College
Scotland,Scotland,Barony College
England,South East,Basingstoke College of Technology
England,South West,University of Bath
England,South West,Bath Spa University
England,South West,City of Bath College
England,East,University of Bedfordshire
England,East,Bedford College
England,Greater London,"Birkbeck College, University of London"
England,West Midlands,Birmingham City University
England,West Midlands,Birmingham Metropolitan College
England,West Midlands,University of Birmingham
England,West Midlands,University College Birmingham
England,Yorkshire and Humberside,Bishop Burton College
England,East Midlands,Bishop Grosseteste University College Lincoln
England,North West,Blackburn College
England,North West,Blackpool and The Fylde College (An Associate College of Lancaster University)
England,North West,University of Bolton
England,South West,Bournemouth University
England,South West,The Arts University College at Bournemouth (Formerly Arts Institute at Bournemouth)
England,Greater London,BPP University College Of Professional Studies
England,Yorkshire and Humberside,University of Bradford
England,Yorkshire and Humberside,Bradford College: An Associate College of Leeds Metropolitan University
England,South West,Bridgwater College
England,South East,University of Brighton
England,South East,Brighton and Sussex Medical School
England,South West,City of Bristol College
England,South West,University of Bristol
England,South West,Bristol Filton College
England,South West,"University of the West of England, Bristol"
England,Greater London,British College of Osteopathic Medicine
England,Greater London,Brooklands College
England,Greater London,Brunel University
England,Greater London,British School of Osteopathy
England,South East,University of Buckingham
England,South East,Buckinghamshire New University
England,East,University of Cambridge
England,South East,Canterbury Christ Church University
England,Greater London,"Capel Manor College, Enfield, Middlesex"
Wales,Wales,Cardiff University
Wales,Wales,"University of Wales Institute, Cardiff"
England,East Midlands,Castle College Nottingham
Wales,Wales,Coleg Sir Gar / Carmarthenshire College
England,North West,University of Central Lancashire
England,Greater London,"Central School of Speech and Drama, University of London"
England,North West,University of Chester
England,East Midlands,Chesterfield College
England,South East,Chichester College
England,South East,University of Chichester
England,Greater London,City University
England,West Midlands,City College Coventry
England,West Midlands,"City College, Birmingham"
England,North East,City of Sunderland College
England,North East,Cleveland College of Art and Design
England,East Midlands,Cliff College
England,East,Colchester Institute
England,East,College of West Anglia
England,Greater London,Courtauld Institute of Art (University of London)
England,West Midlands,Coventry University
England,South West,Cornwall College
England,Yorkshire and Humberside,Craven College
England,South East,University for the Creative Arts
England,North West,University of Cumbria
England,Greater London,Croydon College
England,East Midlands,De Montfort University
England,East Midlands,University of Derby
England,Yorkshire and Humberside,Dearne Valley College
England,Yorkshire and Humberside,Doncaster College
England,South West,Duchy College
England,West Midlands,Dudley College of Technology
Scotland,Scotland,University of Dundee
England,North East,Durham University
England,Greater London,"Ealing, Hammersmith and West London College"
England,East,University of East Anglia
England,Greater London,East End Computing and Business College
England,Greater London,University of East London
England,Yorkshire and Humberside,East Riding College
England,East,Easton College
England,South East,"East Surrey College (incorporating Reigate School of Art, Design and Media)"
England,North West,Edge Hill University
Scotland,Scotland,The University of Edinburgh
Scotland,Scotland,Edinburgh Napier University
England,East,University of Essex
England,Greater London,"European Business School, London"
England,Greater London,European School of Economics
England,South East,European School of Osteopathy
England,South West,Exeter College
England,South West,University of Exeter
England,South West,University College Falmouth Incorporating Dartington College of Arts
England,South East,Farnborough College of Technology
Wales,Wales,"University of Glamorgan, Cardiff and Pontypridd"
Scotland,Scotland,University of Glasgow
Scotland,Scotland,Glasgow Caledonian University
Scotland,Scotland,Glasgow School of Art
England,South West,Gloucestershire College
England,South West,University of Gloucestershire
Wales,Wales,Glyndwr University
England,Greater London,"Goldsmiths, University of London"
Wales,Wales,Gower College Swansea
England,Greater London,University of Greenwich
England,Greater London,Greenwich School of Management
England,Yorkshire and Humberside,Grimsby Institute of Further and Higher Education
England,South East,Guildford College of Further and Higher Education
England,West Midlands,Harper Adams University College
England,East,Havering College of Further and Higher Education
England,West Midlands,Hereford College of Arts
Scotland,Scotland,"Heriot-Watt University, Edinburgh"
England,East,University of Hertfordshire
England,South East,Highbury College
England,Greater London,Heythrop College (University of London)
Scotland,Scotland,UHI Millennium Institute (University of the Highlands and Islands)
England,Greater London,Holborn College
England,North West,Hopwood Hall College
England,Yorkshire and Humberside,University of Huddersfield
England,Yorkshire and Humberside,University of Hull
England,Yorkshire and Humberside,Hull College
England,Yorkshire and Humberside,Hull York Medical School
England,Greater London,Imperial College London
England,Greater London,Islamic College for Advanced Studies
England,West Midlands,Keele University
England,Greater London,Kensington College of Business
England,South East,The University of Kent
England,Greater London,King's College London (University of London)
England,Greater London,Kingston University
England,Yorkshire and Humberside,Kirklees College
England,North West,Lakes College - West Cumbria
England,North West,Lancaster University
England,Yorkshire and Humberside,Leeds City College
England,Yorkshire and Humberside,University of Leeds
England,Yorkshire and Humberside,Leeds Trinity University College
England,Yorkshire and Humberside,Leeds Metropolitan University
England,Yorkshire and Humberside,Leeds College of Art
England,Yorkshire and Humberside,Leeds College of Music
England,East Midlands,University of Leicester
England,East Midlands,Leicester College
England,East Midlands,University of Lincoln
England,North West,University of Liverpool
England,East Midlands,Lincoln College
England,North West,Liverpool Community College
England,North West,Liverpool Hope University
England,North West,Liverpool Institute for Performing Arts
England,North West,Liverpool John Moores University
Wales,Wales,Coleg Llandrillo Cymru
England,Greater London,"London College, UCK"
England,Greater London,London Electronics College
England,Greater London,London Metropolitan University
England,Greater London,London School of Commerce
England,Greater London,London School of Science and Technology
England,Greater London,London School of Economics and Political Science (University of London)
England,Greater London,London South Bank University
England,East Midlands,Loughborough College
England,East Midlands,Loughborough University
England,North West,Manchester College
England,North West,University of Manchester
England,North West,Manchester Metropolitan University
England,South East,Medway School of Pharmacy
Wales,Wales,Coleg Menai
England,North West,Mid-Cheshire College
England,Greater London,Middlesex University
England,East Midlands,Moulton College
England,Greater London,Mountview Academy of Theatre Arts
England,North West,Myerscough College
England,North West,Nazarene Theological College
Wales,Wales,Neath Port Talbot College
England,North East,Newcastle University
England,North East,New College Durham
England,East Midlands,New College Nottingham
England,East Midlands,New College Stamford
England,West Midlands,New College Telford
England,North East,Newcastle College
England,West Midlands,"Newman University College, Birmingham"
Wales,Wales,"University of Wales, Newport"
England,East Midlands,University of Northampton
England,East,Norwich University College Of The Arts
England,Greater London,Newham College of Further Education
England,South East,"NESCOT, Surrey"
England,South West,North Devon College
England,West Midlands,North East Worcestershire College
Scotland,,North Glasgow College
England,Yorkshire and Humberside,North Lindsey College
England,North East,Northumbria University
England,West Midlands,North Warwickshire and Hinckley College
England,South East,Northbrook College Sussex
England,East,City College Norwich
England,East Midlands,University of Nottingham
England,East Midlands,Nottingham Trent University
England,North East,Northumberland College
England,South East,Oxford University
England,South East,Oxford Brookes University
France,Paris,University of London Institute in Paris
Wales,Wales,Pembrokeshire College
England,South East,Oxford & Cherwell Valley College
England,East,University Centre Peterborough
England,South West,University of Plymouth
England,South West,UCP Marjon - University College Plymouth St Mark & St John
England,South West,Peninsula College of Medicine & Dentistry
England,South East,University of Portsmouth
Scotland,Scotland,"Queen Margaret University, Edinburgh"
England,Greater London,"Queen Mary, University of London"
Northern Ireland,Northern Ireland,Queen's University Belfast
England,South West,Plymouth College of Art
England,South East,The University of Reading
England,Greater London,Regents Business School London
England,Greater London,"Richmond, The American International University in London"
Scotland,Scotland,Robert Gordon University
England,Greater London,Roehampton University
England,Greater London,Ravensbourne College of Design and Communication
England,Greater London,Rose Bruford College
England,Yorkshire and Humberside,Rotherham College of Arts and Technology
England,Greater London,Royal Academy of Dance
England,South East,"Royal Holloway, University of London"
England,Greater London,Royal Veterinary College (University of London)
Wales,Wales,Royal Welsh College of Music and Drama (Coleg Brenhinol Cerdd a Drama Cymru)
England,South West,Royal Agricultural College
Scotland,Scotland,Scottish Agricultural College
England,North West,University of Salford
England,Greater London,SAE Institute
England,West Midlands,Sandwell College
England,Greater London,School of Oriental and African Studies (University of London)
England,Greater London,School of Pharmacy (University of London)
England,Yorkshire and Humberside,University of Sheffield
England,Yorkshire and Humberside,Sheffield Hallam University
England,South East,Ruskin College Oxford
England,West Midlands,Shrewsbury College of Arts and Technology
England,Yorkshire and Humberside,Sheffield College
England,South East,University of Southampton
England,West Midlands,Solihull College
England,South East,Southampton Solent University
England,South West,Somerset College of Arts and Technology
England,North West,South Cheshire College
England,South West,South Devon College
Scotland,Scotland,University of St Andrews
England,Greater London,Southwark College
England,South East,South Downs College
England,East Midlands,South Nottingham College
England,East,South East Essex College (Partner of the University of Essex)
England,North West,Southport College
England,Greater London,"St George's, University of London"
England,North West,St Helens College
England,North East,South Tyneside College
England,Greater London,"St Mary's University College, Twickenham"
England,South East,Sparsholt College Hampshire
England,West Midlands,Staffordshire University
England,West Midlands,Staffordshire University Regional Federation
England,East Midlands,Stephenson College Coalville
Scotland,Scotland,University of Stirling
England,North West,Stockport College
England,West Midlands,Stourbridge College
Scotland,Scotland,University of Strathclyde
Northern Ireland,Northern Ireland,Stranmillis University College: A College of Queen's University Belfast
England,East,University Campus Suffolk
England,North East,University of Sunderland
England,South East,University of Surrey
England,South East,University of Sussex
Wales,Wales,Swansea University
Wales,Wales,Swansea Metropolitan University
England,West Midlands,Stratford upon Avon College
England,South West,Swindon College
England,North East,Teesside University
England,Greater London,Thames Valley University
Wales,Wales,The University of Wales Trinity Saint David
England,North West,Tameside College
England,South West,Truro and Penwith College
Northern Ireland,Northern Ireland,University of Ulster
Scotland,Scotland,University of the West of Scotland
England,Greater London,University of the Arts London
England,Greater London,University College London (University of London)
England,Greater London,Uxbridge College
England,North East,Tyne Metropolitan College
England,Yorkshire and Humberside,Wakefield College
England,North West,Warrington Collegiate
England,West Midlands,University of Warwick
England,West Midlands,Walsall College
England,West Midlands,Warwickshire College
England,North West,West Cheshire College
England,East,"West Herts College, Watford Associate College of University of Hertfordshire"
England,Greater London,University of Westminster
England,Greater London,Westminster Kingsway College
England,Greater London,West Thames College
England,North West,Wigan and Leigh College
England,North West,Wirral Metropolitan College
England,South West,Wiltshire College
England,West Midlands,University of Wolverhampton
England,South East,University of Winchester
England,West Midlands,University of Worcester
England,West Midlands,Worcester College of Technology
England,East,Writtle College
England,Yorkshire and Humberside,University of York
England,Yorkshire and Humberside,York College
England,Yorkshire and Humberside,York St John University
England,Yorkshire and Humberside,Yorkshire Coast College of Further and Higher Education
